years,date,available_compute,compute_multiplier,tax,actual_compute_needed,achieved
1,2026-09-24,6.048e+25,4.0,1.2174466245813602,1.2174466245813601e+40,False
2,2027-09-24,2.4192e+26,16.0,1.1943761881925394,1.1943761881925394e+40,False
3,2028-09-23,9.6768e+26,64.0,1.1737534560906686,1.1737534560906687e+40,False
5,2030-09-23,1.548288e+28,1024.0,1.1388398811045046,1.1388398811045047e+40,False
7,2032-09-22,2.4772608e+29,16384.0,1.1109417505632466,1.1109417505632466e+40,False
10,2035-09-22,1.585446912e+31,1048576.0,1.079243962961498,1.0792439629614981e+40,False
15,2040-09-20,1.623497637888e+34,1073741824.0,1.0452291201626471,1.0452291201626471e+40,False
20,2045-09-19,1.662461581197312e+37,1099511627776.0,1.0258148789413915,1.0258148789413914e+40,False
30,2055-09-17,1.7432173149655527e+43,1.152921504606847e+18,1.0084095740527574,1.0084095740527574e+40,True
50,2075-09-12,1.916687707545083e+55,1.2676506002282294e+30,1.0008924457221198,1.0008924457221198e+40,True
