date,max_compute_flops,max_parameters,compute_threshold,params_threshold,num_frontier_models,frontier_model_names
2019-03-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2019-04-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2019-05-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2019-06-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2019-07-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2019-08-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2019-09-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2019-10-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2019-11-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2019-12-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2020-01-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2020-02-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2020-03-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2020-04-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2020-05-01,7.936e+20,124000000.0,7.936e+19,12400000.0,1,GPT-2
2020-06-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2020-07-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2020-08-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2020-09-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2020-10-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2020-11-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2020-12-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2021-01-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2021-02-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2021-03-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2021-04-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2021-05-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2021-06-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2021-07-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2021-08-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2021-09-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2021-10-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2021-11-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2021-12-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2022-01-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2022-02-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2022-03-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2022-04-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2022-05-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2022-06-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2022-07-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2022-08-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2022-09-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2022-10-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2022-11-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
2022-12-01,3.14e+23,174600000000.0,3.14e+22,17460000000.0,2,"davinci-002 (GPT-3), gpt-3.5-turbo-instruct"
