task_family,n_points,best_aic,best_bic,sigmoid_r2,sigmoid_aic,sigmoid_bic,exponential_r2,exponential_aic,exponential_bic,power_law_r2,power_law_aic,power_law_bic,linear_r2,linear_aic,linear_bic,quadratic_r2,quadratic_aic,quadratic_bic,logarithmic_r2,logarithmic_aic,logarithmic_bic
acdc_bug,12,linear,linear,0.0974909108136941,-55.593367214999205,-53.653740615847205,0.09774673070719364,-57.59676914625972,-56.14204919689571,0.09635997400855001,-57.57833939329685,-56.12361944393285,0.07686458392699858,-59.32220110976113,-58.35238781018513,0.09773925089199409,-57.59666966486863,-56.14194971550462,0.06759037963066816,-59.2022456507442,-58.2324323511682
ai_rd_fix_embedding,13,sigmoid,sigmoid,0.8684572110308184,-101.90297010836224,-99.6431726785161,0.6623277229415956,-91.6473027814683,-89.95245470908368,0.26631834885252104,-81.55931076179671,-79.8644626894121,0.12672430074977048,-81.29502151463613,-80.16512279971306,0.42790261225984005,-84.79326852226563,-83.09842044988102,0.10153385751397037,-80.92533127728564,-79.79543256236256
ai_rd_nanogpt_chat_rl,13,quadratic,linear,0.24010669651556937,-71.61122252447387,-69.35142509462773,0.016834730433467282,-70.26243291822516,-68.56758484584054,0.008659829720914947,-70.15478640142724,-68.45993832904263,0.01697796354626735,-72.26432697019466,-71.13442825527159,0.18152956184851898,-72.64585232928695,-70.95100425690234,0.00875317747427995,-72.15601058054175,-71.02611186561867
ai_rd_optimize_llm_foundry,14,sigmoid,sigmoid,0.853926039782553,-71.57893410490583,-69.02270478644479,0.432147531237668,-54.57045403228958,-52.65328204344381,0.49008239614662785,-56.07702896641578,-54.15985697757001,0.44510941657440073,-56.89372382612079,-55.61560916689027,0.677698177814825,-62.49967889375965,-60.58250690491388,0.505434827662985,-58.50501197365696,-57.226897314426445
ai_rd_restricted_mlm,13,sigmoid,sigmoid,0.41011229874698274,-47.85202731467312,-45.59222988482698,0.2624518371969443,-46.947837589181276,-45.25298951679667,0.15646405370721306,-45.20231296234567,-43.507464889961064,0.08472496215432501,-46.14122577675861,-45.01132706183554,0.22706987266507428,-46.33869319126069,-44.64384511887608,0.07012608794844821,-45.9355086989718,-44.80560998404873
ai_rd_rust_codecontests_inference,13,exponential,exponential,0.6488770678780205,-45.838489065484545,-43.5786916356384,0.6041124500488926,-46.27856953490085,-44.583721462516245,0.286492963018009,-38.62076232157173,-36.92591424918712,0.14576521217038707,-38.280583133315275,-37.1506844183922,0.4352735361053448,-41.660822985163065,-39.96597491277846,0.11889528571972319,-37.87796800997597,-36.7480692950529
ai_rd_small_scaling_law,13,sigmoid,exponential,0.5619078837204201,-48.15726899075168,-45.89747156090554,0.4802972029109761,-47.936506229423074,-46.241658157038465,0.41214221811182994,-46.33454291862464,-44.63969484624003,0.2902973289872508,-45.885849164662915,-44.75595044973984,0.46735702266748924,-47.61678085652228,-45.921932784137674,0.2582064674876623,-45.31092628011512,-44.181027565192046
ai_rd_triton_cumsum,13,linear,linear,0.3346202991882642,-62.739855900121825,-60.48005847027568,0.18635254068964546,-62.124654751237614,-60.429806678853005,0.1569733865716677,-61.66352717669497,-59.96867910431036,0.10746672873065588,-62.92167874098399,-61.79178002606092,0.18351587640161893,-62.07941095208284,-60.38456287969823,0.09473300019346031,-62.73751897420182,-61.60762025927875
audio_classification,14,sigmoid,sigmoid,0.9060015155170474,-55.170788699560795,-52.61455938109976,0.855077588726919,-51.1099108706854,-49.192738881839624,0.5208414417346292,-34.368248066506794,-32.45107607766102,0.30384609188688516,-31.138699178930608,-29.86058451970009,0.6519405381991948,-38.843463280308036,-36.92629129146226,0.2533127248629843,-30.157639544196115,-28.879524884965598
auto_days_since,14,sigmoid,sigmoid,0.9966770901438275,-98.68078471632131,-96.12455539786028,0.9036523164038561,-53.54106983876174,-51.62389784991597,0.9058966324570216,-53.871043121713804,-51.95387113286803,0.8972620213644208,-54.6420108770055,-53.36389621777498,0.9061233564314025,-53.904814129191635,-51.98764214034586,0.8709778573089935,-51.45278024339752,-50.174665584167
avoid_shutdown,14,exponential,exponential,0.586031034419171,-65.02476357708589,-62.46853425862486,0.5550660701891389,-66.01487651487892,-64.09770452603314,0.37351741915319325,-61.224144117716506,-59.30697212887073,0.2636919545983174,-60.96275770260314,-59.684643043372624,0.39385083206548144,-61.686072193385655,-59.76890020453988,0.2337894793236719,-60.40544021406886,-59.12732555483834
blackbox,14,sigmoid,sigmoid,0.6047491533272489,-56.30063651295667,-53.744407194495636,0.46198292547507047,-53.98346101414532,-52.06628902529955,0.45094841382130435,-53.69923155398087,-51.7820595651351,0.37442834414590165,-53.87260283292679,-52.59448817369627,0.4544003951329135,-53.78752981548753,-51.87035782664176,0.34390857629111016,-53.205723142843006,-51.92760848361249
