Model version,ECI Score,Release date,Organization,Country,Model accessibility,Training compute (FLOP),Confidence,Model name,Description,Display name,kaplan_predicted_eci,lucr_eci_diff,kaplan_needed_compute,lucr_compute_tax
LLaMA-65B,111.75738942693508,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),5.5e+23,Confident,LLaMA-65B,Meta's largest model in the original Llama series.,,115.80751200411723,4.050122577182151,3.3292946679069974e+23,1.6520015644808164
LLaMA-7B,96.0794493642578,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),4.00000001e+22,Confident,LLaMA-7B,Meta's smallest model in the original Llama series.,,96.87125583266022,0.7918064684024273,3.394322283922092e+22,1.1784384850392156
LLaMA-33B,108.7365909074187,2023-02-27,Meta AI,United States of America,Open weights (non-commercial),2.7300000000001e+23,Confident,LLaMA-33B,Meta's 33 billion-parameter model in the original Llama series,,110.15707656018523,1.42048565276653,2.2926408883008342e+23,1.1907665146910162
LLaMA-13B,100.61949981052346,2023-02-27,Meta AI,United States of America,Open weights (non-commercial),7.8e+22,Confident,LLaMA-13B,Meta's 13 billion-parameter model in the original Llama series.,,100.74836714233115,0.12886733180768317,7.643430638053687e+22,1.0204841738429358
gpt-4-0314,125.6972661914446,2023-03-14,OpenAI,United States of America,API access,2.1e+25,Likely,GPT-4,"The March 2023 version of GPT-4, OpenAI's 2023 multimodal flagship model.",GPT-4 (Mar 2023),134.18003024886772,8.482764057423125,2.3117261921407842e+24,9.084120806085973
falcon-40b,104.47160849817834,2023-03-15,Technology Innovation Institute,United Arab Emirates,Open weights (unrestricted),2.4e+23,Confident,Falcon-40B,The 40 billion-parameter model in the Falcon series.,,109.11464439554864,4.6430358973702965,1.3237689227237968e+23,1.8130052449499585
Cerebras-GPT-13B,77.37679386680217,2023-03-20,Cerebras Systems,United States of America,Open weights (unrestricted),2.3e+22,Confident,Cerebras-GPT-13B,,,94.4159486076086,17.039154740806424,1e+20,230.00000000000003
falcon-7b,95.11773385249916,2023-04-24,Technology Innovation Institute,United Arab Emirates,Open weights (unrestricted),6.3e+22,Confident,Falcon-7B,The 7 billion-parameter model in the Falcon series.,,99.40167245402668,4.283938601527524,2.739957171483663e+22,2.299306013089469
mpt-7b,94.2998837148508,2023-05-05,MosaicML,United States of America,Open weights (unrestricted),4.2e+22,Confident,MPT-7B,,,97.1206736719493,2.820789957098512,2.2270746446106976e+22,1.8858820067677515
Baichuan-7B,92.50052768115052,2023-06-01,Baichuan,China,Open weights (non-commercial),5.04e+22,Confident,Baichuan1-7B,,,98.10059576443827,5.600068083287752,1.272654363956739e+22,3.9602268634277227
gpt-4-0613,122.10983844787572,2023-06-13,OpenAI,United States of America,API access,2.1e+25,Likely,GPT-4,"The June 2023 version of GPT-4, OpenAI's 2023 multimodal flagship model.",GPT-4 (Jun 2023),134.18003024886772,12.070191800992006,1.293931218392872e+24,16.229610740888578
Inflection-1,119.17230051697888,2023-06-22,Inflection AI,United States of America,Hosted access (no API),1.0001e+24,Speculative,Inflection-1,,,120.31994712439372,1.147646607414842,8.548564430521718e+23,1.1699040325756356
mpt-30b,99.17825259561889,2023-06-22,MosaicML,United States of America,Open weights (unrestricted),1.8900000000001e+23,Confident,MPT-30B,,,107.20632755546093,8.028074959842044,6.064266490189394e+22,3.116617653689347
xgen-7b-8k-base,93.30117087747902,2023-06-27,Salesforce,United States of America,Open weights (unrestricted),8.02e+22,Confident,XGen-7B,,,100.93075802865872,7.629587151179692,1.671946291094501e+22,4.796804803310931
claude-2.0,119.77402787499454,2023-07-11,Anthropic,United States of America,API access,3.866e+24,Speculative,Claude 2,Anthropic's second generation Claude model.,,128.3803065325272,8.606278657532641,9.255430833834592e+23,4.177007066885819
Llama-2-13b,105.34904664449547,2023-07-18,Meta AI,United States of America,Open weights (restricted use),1.6e+23,Confident,Llama 2-13B,Meta's 13 billion-parameter model in the Llama 2 series of open source models.,,105.90498700441704,0.5559403599215642,1.4887345990080566e+23,1.0747382381427015
Llama-2-70b-hf ,116.75423942181996,2023-07-18,Meta AI,United States of America,Open weights (restricted use),8.1e+23,Confident,Llama 2-70B,A chat-optimized of a 70 billion-parameter model in the Llama 2 series.,,118.78130176442494,2.027062342604978,6.199822243527849e+23,1.3064890704658176
Llama-2-7b,98.40289020295636,2023-07-18,Meta AI,United States of America,Open weights (restricted use),8.4e+22,Confident,Llama 2-7B,Meta's 7 billion-parameter model in the Llama 2 series of open source models.,,101.23777811553391,2.834887912577557,5.318296882853569e+22,1.5794530062964294
