scenario,threshold,threshold_metr,probability,median_years,median_date,ci_low_years,ci_high_years,ci_low_date,ci_high_date
Baseline (Current Trends),Near-AGI,0.8,0.03903428173119574,9.296482412060305,2035-02,7.587939698492466,9.949748743718597,2033-06,2035-10
Baseline (Current Trends),AGI,0.9,0.004245611811672264,9.497487437185935,2035-04,8.658291457286436,9.949748743718597,2034-06,2035-10
AGI Race (3mo doubling),Near-AGI,0.8,0.8055256320892212,7.386934673366834,2033-03,5.025125628140704,9.597989949748742,2030-11,2035-06
AGI Race (3mo doubling),AGI,0.9,0.6285406501489132,8.190954773869343,2034-01,5.929648241206029,9.79899497487437,2031-10,2035-08
Moderate Acceleration (4mo),Near-AGI,0.8,0.43248209872631643,8.542713567839197,2034-05,6.281407035175878,9.899497487437182,2032-02,2035-09
Moderate Acceleration (4mo),AGI,0.9,0.20182497940561434,9.045226130653266,2034-11,7.1356783919598,9.949748743718596,2032-12,2035-10
+5% Translation,Near-AGI,0.8,0.0958747861352259,9.04522613065327,2034-11,7.035175879396987,9.949748743718597,2032-11,2035-10
+5% Translation,AGI,0.9,0.018756732779925227,9.422110552763822,2035-04,7.977386934673371,9.962311557788949,2033-10,2035-10
+10% Translation,Near-AGI,0.8,0.19092579684430644,8.894472361809049,2034-09,6.432160804020101,9.899497487437186,2032-04,2035-09
+10% Translation,AGI,0.9,0.051707749825739814,9.22110552763819,2035-01,7.386934673366838,9.949748743718597,2033-03,2035-10
+20% Translation,Near-AGI,0.8,0.43058107851213484,8.190954773869347,2034-01,5.226130653266336,9.84924623115578,2031-01,2035-09
+20% Translation,AGI,0.9,0.19967048982954186,8.844221105527637,2034-09,6.281407035175884,9.899497487437186,2032-02,2035-09
+30% Translation,Near-AGI,0.8,0.6590203409162917,7.336683417085433,2033-03,3.919597989949748,9.698492462311563,2029-10,2035-07
+30% Translation,AGI,0.9,0.4166402636081364,8.190954773869347,2034-01,5.175879396984924,9.84924623115578,2031-01,2035-09
Compute Restrictions (12mo),Near-AGI,0.8,0.0,,,,,,
Compute Restrictions (12mo),AGI,0.9,0.0,,,,,,
Compute Restrictions (18mo),Near-AGI,0.8,0.0,,,,,,
Compute Restrictions (18mo),AGI,0.9,0.0,,,,,,
AGI Race + 20% Efficiency,Near-AGI,0.8,0.9670489829541854,5.226130653266333,2031-01,3.0150753768844223,8.542713567839193,2028-11,2034-05
AGI Race + 20% Efficiency,AGI,0.9,0.9169254166402636,6.281407035175881,2032-02,3.91959798994975,9.195979899497486,2029-10,2035-01
+20% + Slower (9mo),Near-AGI,0.8,0.08389835878588175,8.793969849246226,2034-08,5.979899497487437,9.949748743718596,2031-10,2035-10
+20% + Slower (9mo),AGI,0.9,0.01590520245865281,9.145728643216081,2034-12,7.412060301507536,9.949748743718596,2033-03,2035-10
Faster LUCR Decay (90% β),Near-AGI,0.8,0.0010138774475635258,9.673366834170857,2035-07,8.98241206030151,10.000000000000004,2034-10,2035-10
Faster LUCR Decay (90% β),AGI,0.9,0.0,,,,,,
